"player","mapsPlayed","impact","rating"
"pallib0ndi",1,-0.000531013773554453,NA
"ino",1,-0.000531510739254992,NA
"monne",1,-0.000531889496189855,NA
"rbz",1,-0.00053206777011367,NA
"m0NESY",2,-0.000534107887522754,NA
"pArker",1,-0.000536898723835676,NA
"4sh0t",2,-0.000537155926873785,NA
"raw",2,-0.000537459900071228,NA
"fibb0",1,-0.000538185720046115,NA
"f0bless",2,-0.000539687553667805,NA
"BLACKEAGLE",2,-0.000540087778882754,NA
"Rev",1,-0.000540314019101393,NA
"Fable",1,-0.000542737371246711,NA
"wippie",5,-0.000544928310545371,NA
"Proxure",1,-0.000546800667346892,NA
"HenryG",1,-0.000547010840358011,NA
"syN",2,-0.000547863953298684,NA
"dejavux",3,-0.000549283325735296,NA
"thamlike",2,-0.000549366429893079,NA
"Nutr1xNTC",1,-0.000550071725133465,NA
"kicker",1,-0.000552050995704712,NA
"Darber",1,-0.000552094076853444,NA
"MOREE",1,-0.000555613645047157,NA
"malik",4,-0.000555945352274809,NA
"deko",21,-0.00055596477389966,1.31
"C4rlito",1,-0.000556718231130726,NA
"0scar",2,-0.000556743541968365,NA
"Smash",2,-0.000558109623285382,NA
"mizoo",1,-0.000560271817187257,NA
"ekul",1,-0.000562239617817667,NA
"KaDaZ",1,-0.00056271990977436,NA
"pnq",2,-0.000562899961515754,NA
"MAIROLLS",3,-0.000563121751311402,NA
"xiaoshou",1,-0.00056430352797131,NA
"Lobanjica",3,-0.000564608360911128,NA
"s4",2,-0.000565152724248662,NA
"Perris",1,-0.000565395440325127,NA
"Shykarny",1,-0.000565754785894917,NA
"BLU3",3,-0.000566690800550584,NA
"carnees",3,-0.000567302045008283,NA
"GuardiaN",779,-0.000571515969755662,1.08
"xpy",1,-0.00057669556080964,NA
"Xtinct",2,-0.000578886892223674,NA
"Qweall",3,-0.000580330591151854,NA
"kyj",3,-0.000582871917366893,NA
"FoDa",2,-0.000588998818277339,NA
"Philip",2,-0.000589874684297371,NA
"Lumji",2,-0.000591407524299631,NA
"JA",2,-0.000591985809142279,NA
"ANASTAZE",0,-0.000592615927984139,NA
"arbie",3,-0.000592764788267582,NA
"doobler",2,-0.000593045088900284,NA
"ZELIN",4,-0.000594164782779357,NA
"defry",2,-0.000595747339898662,NA
"elo",3,-0.000595849621189725,NA
"mixxed",2,-0.000598027238784813,NA
"ek1ps",2,-0.000602133439069707,NA
"krumpze",1,-0.000602890733630923,NA
"RENNE",2,-0.000602998691042296,NA
"fxy0",3,-0.000607100574121379,0.88
"RIjK0",3,-0.000607138757149983,NA
"fletch",1,-0.00060759687834095,NA
"Slutty",2,-0.000608627438315094,NA
"jeorgesnorts",1,-0.000609813472906123,NA
"T4RG3T",2,-0.000609891504520037,NA
"kev1n",1,-0.000611327142111495,NA
"peacemaker",2,-0.000612039740701177,NA
"nsww",2,-0.000615802102566161,NA
"k0nfig",1126,-0.000616597647667515,1.1
"Mh",2,-0.000617611706495542,NA
"h1glaiN",3,-0.000617917930888463,NA
"kamaz1k",1,-0.000619497481732944,NA
"1mpala",2,-0.000621556243614073,NA
"Zote",1,-0.000622527365059017,NA
