"player","mapsPlayed","impact","rating"
"Knp",1,-0.000419566682698292,NA
"jenko",6,-0.000422437251087722,NA
"Douglas",2,-0.00042608103724916,NA
"TORAS",5,-0.000426117732766374,NA
"1mpala",2,-0.000428705852540717,NA
"nat1ve",4,-0.000429079011768177,NA
"tiz",1,-0.00042911889123697,NA
"flexeeee",1,-0.000429210711751122,NA
"fxy0",3,-0.000429493169817791,0.88
"karl",2,-0.000432418299592326,NA
"spyn",1,-0.000432451198652659,NA
"benq1",3,-0.000433135158705659,NA
"DEV7L",21,-0.000434869166753393,NA
"Zote",1,-0.000436985270362325,NA
"T.c",1,-0.000438633727889022,NA
"Kirby",3,-0.000439145208532826,NA
"bnox",2,-0.000440252296512081,NA
"MAIROLLS",3,-0.000440448111682652,NA
"EXR",1,-0.000442198905064304,NA
"Aaron",6,-0.000445474454604743,NA
"Jibrix",2,-0.000447996855414657,NA
"t4styy",1,-0.000448534671290475,NA
"SolEk",2,-0.000448556874580442,NA
"C4rlito",1,-0.000449050472036546,NA
"kruzer",1,-0.000450233317762409,NA
"shutout",1,-0.00045023686039714,NA
"Axii",2,-0.000451361971997598,NA
"4ourgot010",2,-0.000453860147208283,NA
"jeorgesnorts",1,-0.000454319159672185,NA
"ekul",1,-0.000454530939650125,NA
"CaPPiNg!",1,-0.000454722326676818,NA
"sXe",3,-0.000454893953833703,NA
"mixxed",2,-0.000457094618773668,NA
"zNf",2,-0.000457239988505436,NA
"karbon",2,-0.000457850522818793,NA
"Philip",2,-0.00045931530005023,NA
"snedker",8,-0.000459933010774251,NA
"Delection",2,-0.000460964185978705,NA
"Swagger",1,-0.000463869414332514,NA
"markostm",1,-0.000467063534467608,NA
"buffdaddy",1,-0.000469462019734125,NA
"JACKPOT",2,-0.000470504846129041,NA
"Insane",2,-0.000472506242724052,NA
"mazi",1,-0.000472512991178168,NA
"NIZN",2,-0.000473596257973939,NA
"Qweall",3,-0.000473644880580346,NA
"DarkS1DE",3,-0.000474219999515089,NA
"kamil",14,-0.000477313228826938,NA
"epis",1,-0.00047741233284011,NA
"Ou7bReaK",1,-0.000477700749369615,NA
"fear",2,-0.000477821419321333,NA
"Xtinct",2,-0.000477984788821225,NA
"kyj",3,-0.000479009994135934,NA
"amster",2,-0.000479480753882137,NA
"liptoN",2,-0.000483621487752469,NA
"agM",3,-0.000483828574253401,NA
"Roflko",2,-0.000484775332800028,NA
"BRACE",2,-0.000486239902323559,NA
"cheti",3,-0.000486431907846592,NA
"rbz",1,-0.000486900540840233,NA
"Frockle",1,-0.000487513513009547,NA
"KaDaZ",1,-0.000490103410372683,NA
"DaneJoris",2,-0.000493268072196621,NA
